	SubjectID1	SubjectID2	Group1	Group2	Distance
27	8d2746d9.68e2.42e3.acfc.092603ad6ec1	683047f6.fe17.477f.9950.a6190ca34054	fmt-material	stool	0.40879956416656554
28	8d2746d9.68e2.42e3.acfc.092603ad6ec1	7e1f1b3f.4575.458c.9f42.287d03499e25	fmt-material	stool	0.5318257843218124
29	8d2746d9.68e2.42e3.acfc.092603ad6ec1	873473f6.eef2.4718.b5f4.e88757055760	fmt-material	stool	0.6752160370956304
30	8d2746d9.68e2.42e3.acfc.092603ad6ec1	cfe0d2d7.c78b.4092.b923.3322b4312c6d	fmt-material	stool	0.4656096824664689
31	8d2746d9.68e2.42e3.acfc.092603ad6ec1	90120dc2.ad2e.4916.a660.633ba4b6a7b8	fmt-material	stool	0.6717471202701161
32	8d2746d9.68e2.42e3.acfc.092603ad6ec1	c1a66804.c565.448a.8371.0c8e386f4969	fmt-material	stool	0.7251669645078399
33	8d2746d9.68e2.42e3.acfc.092603ad6ec1	d623471b.5a0c.4291.a780.2ae6532752a9	fmt-material	stool	0.7123170444437462
34	8d2746d9.68e2.42e3.acfc.092603ad6ec1	fe826a14.1ed8.4d19.b14d.2233b960e1bc	fmt-material	stool	0.5125028046261527
35	8d2746d9.68e2.42e3.acfc.092603ad6ec1	40112074.09e5.42b1.b332.17c9b89686e5	fmt-material	stool	0.4698247437391536
36	8d2746d9.68e2.42e3.acfc.092603ad6ec1	cfc37a70.9ba6.4d25.b541.4c0ff9d1bfeb	fmt-material	stool	0.5075151039733047
37	8d2746d9.68e2.42e3.acfc.092603ad6ec1	eb4ece61.6afe.4c88.8a06.d616dab1dd34	fmt-material	stool	0.6390215090400881
38	8d2746d9.68e2.42e3.acfc.092603ad6ec1	c287751e.0263.4fda.8aa2.3b717855e2ee	fmt-material	stool	0.6591459231347272
39	78ff0b74.3d7e.4ed5.8c2d.a5f77b793718	11f3f37a.3698.4031.8183.75f6f2c6c04c	fmt-material	stool	0.6365397570077406
40	78ff0b74.3d7e.4ed5.8c2d.a5f77b793718	c61b44a5.ae92.4202.9d0c.b4507197e456	fmt-material	stool	0.6571810944980468
41	78ff0b74.3d7e.4ed5.8c2d.a5f77b793718	59d06f37.995b.40a5.91a8.c825d1a7ca6f	fmt-material	stool	0.6117457721519278
42	78ff0b74.3d7e.4ed5.8c2d.a5f77b793718	8cbe736d.b553.450d.af3c.d5ad08863390	fmt-material	stool	0.5764017617002931
43	78ff0b74.3d7e.4ed5.8c2d.a5f77b793718	124dc1db.9029.41c6.afff.b73a692e19b1	fmt-material	stool	0.6454704287297709
44	78ff0b74.3d7e.4ed5.8c2d.a5f77b793718	98d36350.175c.439b.a534.27de6e5783ad	fmt-material	stool	0.44197259741878653
45	78ff0b74.3d7e.4ed5.8c2d.a5f77b793718	683047f6.fe17.477f.9950.a6190ca34054	fmt-material	stool	0.5552013810732603
46	78ff0b74.3d7e.4ed5.8c2d.a5f77b793718	7e1f1b3f.4575.458c.9f42.287d03499e25	fmt-material	stool	0.5382781439317623
47	78ff0b74.3d7e.4ed5.8c2d.a5f77b793718	873473f6.eef2.4718.b5f4.e88757055760	fmt-material	stool	0.6670181853460377
48	78ff0b74.3d7e.4ed5.8c2d.a5f77b793718	cfe0d2d7.c78b.4092.b923.3322b4312c6d	fmt-material	stool	0.560540312235847
49	78ff0b74.3d7e.4ed5.8c2d.a5f77b793718	90120dc2.ad2e.4916.a660.633ba4b6a7b8	fmt-material	stool	0.5415640203166202
50	78ff0b74.3d7e.4ed5.8c2d.a5f77b793718	c1a66804.c565.448a.8371.0c8e386f4969	fmt-material	stool	0.573999219780478
51	78ff0b74.3d7e.4ed5.8c2d.a5f77b793718	d623471b.5a0c.4291.a780.2ae6532752a9	fmt-material	stool	0.6301117895127114
52	78ff0b74.3d7e.4ed5.8c2d.a5f77b793718	fe826a14.1ed8.4d19.b14d.2233b960e1bc	fmt-material	stool	0.6034332680062711
53	78ff0b74.3d7e.4ed5.8c2d.a5f77b793718	40112074.09e5.42b1.b332.17c9b89686e5	fmt-material	stool	0.5786629548908405
54	78ff0b74.3d7e.4ed5.8c2d.a5f77b793718	cfc37a70.9ba6.4d25.b541.4c0ff9d1bfeb	fmt-material	stool	0.6720128095654595
55	78ff0b74.3d7e.4ed5.8c2d.a5f77b793718	eb4ece61.6afe.4c88.8a06.d616dab1dd34	fmt-material	stool	0.735998209325672
56	78ff0b74.3d7e.4ed5.8c2d.a5f77b793718	c287751e.0263.4fda.8aa2.3b717855e2ee	fmt-material	stool	0.5113501556314192
